gbifID,spCode,FW_avg,HW_avg,references,eventDate,lat,lon,Temp,Prec,elevation,latlon,stateProvince
1586160794,G_lygdamus,15.40178571,13.08035714,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147461,1970-03-21T00:00:00,36.488852,-121.17404,14,463,400,36.488852 -121.17404,California
1586160795,G_lygdamus,15.75892857,12.05357143,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147490,1978-06-02T00:00:00,36.3091865,-117.54958,14.6,152,1147,36.3091865 -117.54958,California
1586160796,G_lygdamus,14.82142857,12.63392857,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147459,1973-03-09T00:00:00,38.381299,-122.0383,15.6,635,109,38.381299 -122.0383,California
1586160797,G_lygdamus,14.42477876,11.85840708,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147476,1981-05-05T00:00:00,33.944128,-118.40521,17.9,335,39,33.944128 -118.40521,California
1586160798,G_lygdamus,15.80357143,13.125,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147496,1960-04-03T00:00:00,37.947966,-122.11596,14.6,565,199,37.947966 -122.11596,California
1586160799,G_lygdamus,15.75892857,13.125,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147483,1977-07-11T00:00:00,35.333064,-111.74211,5.1,631,2600,35.333064 -111.74211,Arizona
1586160800,G_lygdamus,15.80357143,13.125,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147486,1970-05-17T00:00:00,37.300207,-118.15399,7.2,244,2227,37.300207 -118.15399,California
1586160801,G_lygdamus,15.71428571,13.48214286,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147466,1973-03-09T00:00:00,38.381299,-122.0383,15.6,635,109,38.381299 -122.0383,California
1586160802,G_lygdamus,16.02678571,13.16964286,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147472,1972-03-18T00:00:00,36.488852,-121.17404,14,463,400,36.488852 -121.17404,California
1586160803,G_lygdamus,15.44642857,12.90178571,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147484,1977-07-11T00:00:00,35.333064,-111.74211,5.1,631,2600,35.333064 -111.74211,Arizona
1586160804,G_lygdamus,16.91964286,14.375,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147467,1973-03-09T00:00:00,38.381299,-122.0383,15.6,635,109,38.381299 -122.0383,California
1586160805,G_lygdamus,16.33928571,13.70535714,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147566,1978-03-12T00:00:00,36.105501,-118.52814,7.3,666,2205,36.105501 -118.52814,California
1586160806,G_lygdamus,16.25,13.34821429,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147502,1960-04-03T00:00:00,37.947966,-122.11596,14.6,565,199,37.947966 -122.11596,California
1586160807,G_lygdamus,14.55357143,11.875,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147463,1970-03-21T00:00:00,36.488852,-121.17404,14,463,400,36.488852 -121.17404,California
1586160808,G_lygdamus,15.35714286,12.90178571,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147478,1983-03-10T00:00:00,33.91307,-118.41658,17.8,329,40,33.91307 -118.41658,California
1586160809,G_lygdamus,14.64285714,11.29464286,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147482,1970-05-17T00:00:00,37.205934,-118.23808,13.2,159,1334,37.205934 -118.23808,California
1586160810,G_lygdamus,15.7079646,12.56637168,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147460,1973-03-09T00:00:00,38.381299,-122.0383,15.6,635,109,38.381299 -122.0383,California
1586160811,G_lygdamus,16.75925926,13.61111111,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147497,1960-04-03T00:00:00,37.947966,-122.11596,14.6,565,199,37.947966 -122.11596,California
1586160812,G_lygdamus,13.79464286,11.51785714,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147400,1977-06-06T00:00:00,45.360062,-68.286408,5.1,1090,126,45.360062 -68.286408,Maine
1586160813,G_lygdamus,15.97345133,12.21238938,http://mczbase.mcz.harvard.edu/guid/MCZ:Ent:147563,1976-03-20T00:00:00,38.913872,-120.73863,13.5,1338,875,38.913872 -120.73863,California
